,Player,TEAM,AGE,W,DEF RTG,DREB%,%DREB,STL,STL%,%BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,DEFWS
88,Alex Len,WAS,28,30,111.0,17.4,24.0,0.3,14.1,60.4,6.0,4.2,3.9,15.4,0.044
89,Anfernee Simons,POR,22,37,114.4,10.9,16.4,0.3,13.5,7.0,4.6,5.7,4.4,16.3,0.031
90,Bam Adebayo,MIA,23,34,109.6,20.4,29.2,1.2,21.4,38.2,11.6,8.0,7.2,29.1,0.108
91,Garrison Mathews,WAS,24,32,113.4,6.5,9.8,0.5,18.8,8.2,6.4,5.0,4.1,17.4,0.035
92,Immanuel Quickley,NYK,22,37,104.5,8.6,12.6,0.5,16.0,8.8,5.4,5.2,3.4,16.5,0.092
93,Jarred Vanderbilt,MIN,22,18,109.2,21.1,31.8,1.0,29.0,30.7,6.6,5.4,5.0,18.8,0.061
94,Jayson Tatum,BOS,23,34,111.8,18.8,26.9,1.2,20.2,12.3,10.8,8.8,8.4,32.3,0.092
95,Nerlens Noel,NYK,27,35,108.5,16.4,24.6,1.1,30.0,70.1,7.7,6.4,5.7,22.9,0.086
96,P.J. Washington,CHA,22,31,109.8,16.3,24.0,1.1,21.2,38.0,10.1,8.2,8.6,30.1,0.098
97,Raul Neto,WAS,29,30,110.3,8.7,12.3,1.1,33.8,5.0,8.0,5.9,4.6,22.4,0.067
98,Andre Iguodala,MIA,37,37,108.1,13.4,20.2,0.9,27.7,29.7,8.3,5.5,3.6,18.0,0.078
99,Clint Capela,ATL,27,34,108.2,30.1,41.9,0.7,16.7,58.1,9.4,8.0,7.4,30.2,0.11
100,Cory Joseph,DET,29,25,115.3,8.5,12.8,1.0,32.1,12.6,8.7,6.3,5.4,25.8,0.037
101,Dean Wade,CLE,24,19,111.9,15.4,22.2,0.6,17.9,21.4,7.1,4.5,5.2,20.6,0.049
102,Delon Wright,SAC,29,21,111.8,12.2,18.3,1.6,32.1,16.9,9.1,7.5,6.7,29.5,0.07
103,Draymond Green,GSW,31,35,109.3,18.4,26.8,1.7,31.1,26.0,11.6,9.4,9.0,29.8,0.105
